Placement,Beer Name,ABV,Brewery,Beer Type
1, Schorschbock 57%,57.5,Schorschbräu,Bock - Eisbock
2, Schorschbock 31%,30.86,Schorschbräu,Bock - Eisbock
3,Samuel Adams UtopiasBoston Beer Company (Samuel Adams),28.0,Boston Beer Company (Samuel Adams),Strong Ale - American
4,My Name Is Legion,22.0,Lehe Pruulikoda,Bock - Eisbock
5,Colossus,20.0,DuClaw Brewing Company,Strong Ale - American
6,Chocolate Rain,19.6,The Bruery,Stout - American Imperial
7,Black Tuesday,19.5,The Bruery,Stout - American Imperial
8,Barrel Roll No. 3 Pugachev's Cobra,18.9,Hangar 24 Brewing,Stout - Russian Imperial
9,Double Ice Bock,18.0,Southampton Publick House,Bock - Eisbock
10,World Wide Stout,18.0,Dogfish Head Craft Brewery,Stout - American Imperial
