Placement,Beer Name,Alcohol,Brewery,Beer Type
1,Pumking - Rum Barrel Aged,139,Southern Tier Brewing Company,Pumpkin Beer
2,Brewer's Reserve Bourbon Barrel Quadruple Ale,130,Central Waters Brewing Co.,Quadrupel (Quad)
3,Sustenance Black Beer - Bourbon Barrel-Aged,126,Short's Brewing Company,Lager - Schwarzbier
4,Wee Heavy - Barrel-Aged,123,AleSmith Brewing Company,Scotch Ale / Wee Heavy
5,Bourbon Barrel Ale,122,The Schlafly Tap Room,Strong Ale - English
6,Golden Delicious,120,Captain Lawrence Brewing Co.,Tripel
7,Bourbon DIPA,120,Hardywood Park Craft Brewery,IPA - Belgian
8,Barrel Aged Brrrbon (Brothers' Reserve Series),118,Widmer Brothers Brewing Company,Winter Warmer
9,Santo Ron Diego,114,The Lost Abbey,Strong Ale - American
10,Wulver,112,Thirsty Dog Brewing Company,Scotch Ale / Wee Heavy
