Placement,Beer Name,Astringency,Brewery,Beer Type
1,Montmorency Vs Balaton,83,Jester King Brewery,Wild Ale
2,Sour Reserve,81,Upland Brewing Company,Lambic - Gueuze
3,Hometown Blonde,77,New Glarus Brewing Company,Pilsner - German
4,Experimental Raspberry,76,Hanssens Artisanaal bvba,Lambic - Fruit
5,Sour In The Rye - Kumquats,70,Bruery Terreux,Wild Ale
6,Iris,69,Brasserie Cantillon,Lambic - Traditional
7,Brut IPA,68,Anderson Valley Brewing Company,IPA - Brut
8,The Wright Pils,66,Great Lakes Brewing Co.,Pilsner - Bohemian / Czech
9,Red Poppy,66,The Lost Abbey,Sour - Flanders Red Ale
10,Fresh Cut,65,Peak Organic Brewing Company,Pilsner - Bohemian / Czech
