Placement,Beer Name,Body,Brewery,Beer Type
1,Victory At Sea - Peanut Butter,197,Ballast Point Brewing Company,Porter - Imperial
2,Chocolate Milk Stout,196,4 Hands Brewing Co.,Stout - Sweet / Milk
3,Moo-HooChiato,186,Terrapin Beer Company,Stout - Sweet / Milk
4,The Chocolate Manifesto,183,Flying Monkeys Craft Brewery,Stout - Sweet / Milk
5,White Chocolate Moo-Hoo Milk Stout,179,Terrapin Beer Company,Stout - Sweet / Milk
6,Sweet Baby Jesus!,178,DuClaw Brewing Company,Porter - American
7,Down 'N Dirty Chocolate Oatmeal Stout,175,Tyranena Brewing Company,Stout - Oatmeal
8,Box Of Chocolate,166,Charleville Vineyard Microbrewery,Quadrupel (Quad)
9,Hold On To Sunshine,163,Tree House Brewing Company,Stout - Sweet / Milk
10,All That Is And All That Ever Will Be,160,Tree House Brewing Company,Stout - Sweet / Milk
