Placement,Beer Name,Hoppiness,Brewery,Beer Type
1,MMMKAY,193,Short's Brewing Company,Lager - India Pale Lager (IPL)
2,Trinity IPA,172,Trinity Brewhouse,IPA - English
3,Pursuit Of Hoppiness,172,Grand Teton Brewing Co.,Red Ale - Imperial
4,The Oracle,171,Bell's Brewery - Eccentric Café & General Store,IPA - Imperial
5,St-Ambroise India Pale Ale,171,McAuslan Brewing,IPA - English
6,Moondog Ale,171,Great Lakes Brewing Co.,Bitter - English Extra Special / Strong Bitter (ESB)
7,Triple Hop'd Lager,158,Bitburger Brauerei,Lager - India Pale Lager (IPL)
8,IPL,154,Straub Brewery,Lager - India Pale Lager (IPL)
9,Heller Bock Saphir,152,Brauerei Hofstetten Krammer GmbH & Co. KG,Bock - Maibock
10,Uncle Rusty,151,Columbus Brewing Company,Red Ale - Imperial
