Placement,Beer Name,Maltiness,Brewery,Beer Type
1,Victory At Sea - Peanut Butter,304,Ballast Point Brewing Company,Porter - Imperial
2,Sweet Baby Jesus!,265,DuClaw Brewing Company,Porter - American
3,Raincloud - Peanut Butter,259,Foolproof Brewing Company,Porter - Robust
4,Down 'N Dirty Chocolate Oatmeal Stout,239,Tyranena Brewing Company,Stout - Oatmeal
5,Bourbon Barrel Aged Dark Star: Coffee Edition,233,Fremont Brewing Company,Stout - Oatmeal
6,Bourbon Barrel Black Maple,233,Jackie O's Pub & Brewery,Porter - Imperial
7,Moment Of Clarity,231,Tree House Brewing Company,Stout - Sweet / Milk
8,Day & Night,230,Trillium Brewing Company,Barleywine - American
9,Sumatra Mountain Brown,218,Founders Brewing Company,Brown Ale - American
10,Scurry,218,Off Color Brewing,Altbier
