Placement,Beer Name,Spices,Brewery,Beer Type
1,Billy's Chilies Beer (Timberline Series),184,Twisted Pine Brewing Company,Chile Beer
2,Chipotle Smoked Porter,179,Pipeworks Brewing Company,Chile Beer
3,Underlig Jul,178,Nøgne Ø - Det Kompromissløse Bryggeri A/S,Herb and Spice Beer
4,Benji's Chipotle Smoked Imperial Porter,173,Tyranena Brewing Company,Porter - Smoked
5,Chipotle Ale,170,Rogue Ales,Chile Beer
6,Chili Pepper Ale,169,Six Rivers Brewery,Chile Beer
7,Indra Kunindra,169,Ballast Point Brewing Company,Stout - Foreign / Export
8,Barrel-Aged Framinghammer - Mole,165,Jack's Abby Brewing,Porter - Baltic
9,Mexican Cake,161,Westbrook Brewing Co.,Stout - American Imperial
10,Autumnal Molé Stout,160,Ska Brewing Co.,Chile Beer
